ST,state,Temp,MAX,MIN,date
OK,Oklahoma,57.7,69.2,46.1,1984
OR,Oregon,46.5,56.6,36.4,1984
PA,Pennsylvania,48.2,58.5,37.8,1984
RI,Rhode Island,50,59.3,40.6,1984
SC,South Carolina,61.4,73,49.7,1984
SD,South Dakota,44.5,55.9,33.2,1984
TN,Tennessee,56.3,67.6,45,1984
TX,Texas,63.2,75.3,51,1984
UT,Utah,47,58.3,35.6,1984
VT,Vermont,42.2,52.7,31.7,1984
VA,Virginia,54.2,65.3,43.1,1984
WA,Washington,46.4,55.8,37,1984
WV,We Virginia,50.9,62,39.7,1984
WI,Wisconsin,42.7,52.3,33.1,1984
WY,Wyoming,40.2,52.2,28.2,1984
AL,Alabama,62.6,74.6,50.5,1985
AZ,Arizona,59.3,72.9,45.6,1985
AR,Arkansas,59.9,70.8,49,1985
CA,California,57.9,70,45.8,1985
CO,Colorado,43.9,56.7,31,1985
CT,Connecticut,48.9,58.9,38.9,1985
DE,Delaware,54.7,64.4,44.9,1985
FL,Florida,69.7,80.8,58.7,1985
GA,Georgia,63.1,75.2,51,1985
ID,Idaho,40.5,51.5,29.6,1985
IL,Illinois,51.5,61.5,41.5,1985
IN,Indiana,51.2,61.1,41.3,1985
IA,Iowa,47.5,57.9,37,1985
KS,Kansas,53.7,65.8,41.5,1985
KY,Kentucky,55,65.7,44.3,1985
LA,Louisiana,66.2,76.9,55.6,1985
ME,Maine,41.2,51.4,31,1985
MD,Maryland,54.2,64,44.3,1985
MA,Massachusetts,47.8,57.9,37.7,1985
MI,Michigan,44.5,54.4,34.6,1985
MN,Minnesota,41.1,51.6,30.7,1985
MS,Mississippi,63.2,74.6,51.8,1985
MO,Missouri,53.9,64.8,43.1,1985
MT,Montana,40.9,52.8,29,1985
NE,Nebraska,48,60,36,1985
NV,Nevada,48.6,61.3,35.9,1985
NH,New Hampshire,43.4,54.3,32.5,1985
NJ,New Jersey,52.2,62.1,42.4,1985
NM,New Mexico,52.4,66.5,38.1,1985
NY,New York,45.2,54.9,35.3,1985
NC,North Carolina,58.4,69.6,47.2,1985
ND,North Dakota,40.5,52,29,1985
OH,Ohio,50.3,60.3,40.4,1985
OK,Oklahoma,59.2,71.3,47.1,1985
OR,Oregon,45.4,55.8,34.9,1985
PA,Pennsylvania,48.3,58.3,38.2,1985
RI,Rhode Island,49.6,58.7,40.4,1985
SC,South Carolina,62.2,74.2,50.3,1985
SD,South Dakota,44.5,56.5,32.4,1985
TN,Tennessee,57.2,68.5,45.9,1985
TX,Texas,64.7,77,52.3,1985
UT,Utah,46.1,58.1,34.1,1985
VT,Vermont,42.4,53,31.8,1985
VA,Virginia,54.9,65.7,44.1,1985
WA,Washington,44.9,54.2,35.5,1985
WV,We Virginia,51.4,62.1,40.7,1985
WI,Wisconsin,43.2,53.4,32.9,1985
WY,Wyoming,39.6,52.1,27.1,1985
AL,Alabama,63.3,74.7,51.9,1986
AZ,Arizona,60.1,74.3,46,1986
AR,Arkansas,60.6,71.8,49.4,1986
CA,California,57.9,70.5,45.3,1986
CO,Colorado,45,58.4,31.6,1986
CT,Connecticut,49.1,59.4,38.8,1986
DE,Delaware,55.8,65.9,45.6,1986
FL,Florida,71.2,81.8,60.4,1986
GA,Georgia,64.1,75.5,52.7,1986
ID,Idaho,40.4,52.3,28.4,1986
IL,Illinois,51.4,61.6,41.3,1986
IN,Indiana,51.7,61.9,41.5,1986
IA,Iowa,46.7,57.2,36.2,1986
KS,Kansas,53.7,66,41.5,1986
KY,Kentucky,55.7,66.5,44.9,1986
LA,Louisiana,66.9,77.4,56.5,1986
ME,Maine,40.5,51.2,29.9,1986
MD,Maryland,55.1,65.5,44.8,1986
MA,Massachusetts,47.8,58.2,37.4,1986
MI,Michigan,43.7,53.6,33.9,1986
MN,Minnesota,39.3,49.8,28.7,1986
MS,Mississippi,63.8,74.9,52.6,1986
MO,Missouri,54,64.8,43.3,1986
MT,Montana,40.3,52.1,28.4,1986
NE,Nebraska,47.8,60.2,35.3,1986
NV,Nevada,49.6,63.2,36.1,1986
NH,New Hampshire,43,54.2,31.8,1986
NJ,New Jersey,52.9,63.2,42.7,1986
NM,New Mexico,53.4,68.4,38.5,1986
NY,New York,45.1,55.1,35.1,1986
NC,North Carolina,59.5,70.8,48.2,1986
ND,North Dakota,39.2,50.8,27.6,1986
OH,Ohio,50.9,61.3,40.6,1986
OK,Oklahoma,59.7,71.6,47.7,1986
OR,Oregon,45.3,56.8,33.7,1986
PA,Pennsylvania,48.9,59.4,38.4,1986
RI,Rhode Island,49.8,59.4,40.1,1986
SC,South Carolina,63.3,74.8,51.7,1986
SD,South Dakota,43.7,56,31.5,1986
TN,Tennessee,57.9,69.1,46.7,1986
TX,Texas,65.1,77.2,53,1986
UT,Utah,47.6,60.1,35.2,1986
VT,Vermont,41.9,52.6,31.2,1986
VA,Virginia,55.7,67,44.5,1986
WA,Washington,44.5,54.6,34.5,1986
WV,We Virginia,52,63.2,40.9,1986
WI,Wisconsin,41.8,52.3,31.3,1986
WY,Wyoming,40.1,53.2,27,1986
AL,Alabama,64.1,75.5,52.6,1987
AZ,Arizona,59.9,73.6,46.3,1987
AR,Arkansas,61.3,71.9,50.6,1987
CA,California,58.3,70.6,45.9,1987
CO,Colorado,45.7,59,32.5,1987
CT,Connecticut,48.3,58.5,38.2,1987
DE,Delaware,54.9,64.9,45,1987
FL,Florida,71.4,82.1,60.8,1987
GA,Georgia,65,76.5,53.5,1987
ID,Idaho,43.7,55.3,32.1,1987
IL,Illinois,52.7,62.5,42.9,1987
IN,Indiana,52.3,62,42.6,1987
IA,Iowa,48.7,58.5,38.8,1987
KS,Kansas,55.6,67.7,43.6,1987
KY,Kentucky,56.6,67.1,46.1,1987
LA,Louisiana,67.1,77.3,56.9,1987
ME,Maine,39.8,50.3,29.2,1987
MD,Maryland,54.5,64.6,44.4,1987
MA,Massachusetts,46.9,57.1,36.8,1987
MI,Michigan,44.7,54.4,35.1,1987
MN,Minnesota,41.8,52,31.5,1987
MS,Mississippi,64.4,75.5,53.4,1987
MO,Missouri,55.6,66,45.2,1987
MT,Montana,42.6,54.3,30.9,1987
NE,Nebraska,50,62.2,37.8,1987
NV,Nevada,50.6,64.1,37.1,1987
NH,New Hampshire,42.5,53.2,31.8,1987
NJ,New Jersey,52.2,62.2,42.1,1987
NM,New Mexico,53,67,39,1987
NY,New York,45,54.6,35.5,1987
NC,North Carolina,59.8,70.7,48.9,1987
ND,North Dakota,41.8,52.9,30.7,1987
OH,Ohio,51.7,61.3,42,1987
OK,Oklahoma,60.2,71.3,49.1,1987
OR,Oregon,47.6,58.8,36.4,1987
PA,Pennsylvania,48.7,58.6,38.8,1987
RI,Rhode Island,48.8,58.1,39.4,1987
SC,South Carolina,64.1,75.6,52.7,1987
SD,South Dakota,46,57.5,34.5,1987
TN,Tennessee,58.8,69.7,48,1987
TX,Texas,65.2,76.7,53.7,1987
UT,Utah,48.7,61,36.4,1987
VT,Vermont,41.7,52.2,31.3,1987
VA,Virginia,55.6,66.4,44.8,1987
WA,Washington,47,56.6,37.5,1987
WV,We Virginia,52.4,62.9,41.8,1987
WI,Wisconsin,43.7,53.7,33.7,1987
WY,Wyoming,41.9,54.4,29.3,1987
AL,Alabama,62.8,74.9,50.9,1988
AZ,Arizona,59.4,73.2,45.5,1988
AR,Arkansas,60.7,72.3,49.2,1988
CA,California,58.4,70.8,45.9,1988
CO,Colorado,44.8,58.3,31.1,1988
CT,Connecticut,48.6,59.1,38.1,1988
DE,Delaware,54.6,64.9,44.4,1988
FL,Florida,70,80.6,59.5,1988
GA,Georgia,63,74.8,51.2,1988
ID,Idaho,44.5,57,31.9,1988
IL,Illinois,53.8,64.4,43.2,1988
IN,Indiana,53,63.6,42.4,1988
IA,Iowa,50.4,61.3,39.6,1988
KS,Kansas,55,67,42.9,1988
KY,Kentucky,56.3,67.9,44.7,1988
LA,Louisiana,65.8,76.9,54.7,1988
ME,Maine,41.2,51.6,30.7,1988
MD,Maryland,54.4,64.9,43.9,1988
MA,Massachusetts,47.2,57.7,36.7,1988
MI,Michigan,46.5,56.7,36.2,1988
MN,Minnesota,44.3,55.2,33.3,1988
MS,Mississippi,63.3,75.2,51.4,1988
MO,Missouri,56.1,67.3,44.9,1988
MT,Montana,44,56.8,31.2,1988
NE,Nebraska,49.8,62.5,37.2,1988
NV,Nevada,50.6,63.7,37.4,1988
NH,New Hampshire,43,54.1,31.9,1988
NJ,New Jersey,52,62.3,41.7,1988
NM,New Mexico,51.8,66.6,37.1,1988
NY,New York,45.6,55.7,35.5,1988
NC,North Carolina,58.2,69.4,46.9,1988
ND,North Dakota,44,55.8,32.3,1988
OH,Ohio,52,62.6,41.4,1988
OK,Oklahoma,59.3,71,47.7,1988
OR,Oregon,48.4,60.3,36.4,1988
PA,Pennsylvania,48.9,59.5,38.4,1988
RI,Rhode Island,48.9,58.6,39.3,1988
SC,South Carolina,62,73.6,50.3,1988
SD,South Dakota,47.5,59.9,35.2,1988
TN,Tennessee,58.1,69.8,46.3,1988
TX,Texas,63.6,75.8,51.3,1988
UT,Utah,48.2,60.6,35.7,1988
VT,Vermont,42.2,53,31.3,1988
VA,Virginia,54.9,66.3,43.6,1988
WA,Washington,48.2,58.6,37.8,1988
WV,We Virginia,52.1,63.6,40.6,1988
WI,Wisconsin,45.5,56.1,34.9,1988
WY,Wyoming,42.2,55.4,29.1,1988
AL,Alabama,62.9,75.1,50.7,1989
AZ,Arizona,60.1,74.5,45.8,1989
AR,Arkansas,60.5,72.6,48.5,1989
CA,California,58.6,71.7,45.5,1989
CO,Colorado,45.6,59.8,31.4,1989
CT,Connecticut,49,59.4,38.5,1989
DE,Delaware,54.8,65.2,44.5,1989
FL,Florida,70.5,81.5,59.5,1989
GA,Georgia,63.3,75.5,51,1989
ID,Idaho,44.2,56.5,31.7,1989
IL,Illinois,53.1,64.6,41.5,1989
IN,Indiana,52.2,63.6,40.8,1989
IA,Iowa,49.8,61.8,37.8,1989
KS,Kansas,55.6,69.1,42.1,1989
KY,Kentucky,55.6,67.9,43.3,1989
LA,Louisiana,66.5,77.4,55.5,1989
ME,Maine,41.2,51.5,30.8,1989
MD,Maryland,54.4,65.1,43.8,1989
MA,Massachusetts,47.8,58.3,37.4,1989
MI,Michigan,45.2,55.8,34.5,1989
MN,Minnesota,42.4,54.1,30.6,1989
MS,Mississippi,63.6,75.5,51.7,1989
MO,Missouri,55.4,67.8,43.1,1989
MT,Montana,44.4,57.5,31.4,1989
NE,Nebraska,50.7,64.4,37.1,1989
NV,Nevada,50.5,64.5,36.5,1989
NH,New Hampshire,43.2,54.2,32.2,1989
NJ,New Jersey,52.3,62.9,41.8,1989
NM,New Mexico,52.9,68.1,37.7,1989
NY,New York,45.4,55.7,35,1989
NC,North Carolina,58.1,69.9,46.3,1989
ND,North Dakota,42.9,55.8,30,1989
OH,Ohio,51.2,62.3,40.1,1989
OK,Oklahoma,59.9,72.7,47.1,1989
OR,Oregon,48,60,36,1989
PA,Pennsylvania,48.8,59.7,38,1989
RI,Rhode Island,49.6,59.2,40,1989
SC,South Carolina,62,74.3,49.8,1989
SD,South Dakota,47.6,60.9,34.2,1989
TN,Tennessee,57.6,69.9,45.2,1989
TX,Texas,65,78,52,1989
UT,Utah,48.4,61.5,35.2,1989
VT,Vermont,42.2,53,31.4,1989
VA,Virginia,54.8,66.7,42.8,1989
WA,Washington,47.5,57.5,37.6,1989
WV,We Virginia,51.8,63.9,39.6,1989
WI,Wisconsin,44.4,55.8,33,1989
WY,Wyoming,43.2,56.8,29.4,1989
AL,Alabama,62.1,73.2,51,1990
AZ,Arizona,61.3,76.4,46.2,1990
AR,Arkansas,59.1,70.1,48.1,1990
CA,California,58.3,71.3,45.3,1990
CO,Colorado,45.5,59.5,31.5,1990
